window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
4,1024,0,5066,4630.1697485854265,0.03704135798868341,0.09113088404133181,0.040646327947267094,43,4.777777777777778,0.8269230769230769,1.0971520000000003,0.05485760000000003,0.05485759999999995,0.05485760000000006,0,0,False,False,
4,1024,1,15066,9260.339497170862,0.0740827159773669,0.177705223880597,0.04168854148437655,87,3.48,0.7857142857142857,2.3040191999999986,0.054857599999999944,0.05485759999999984,0.054857600000000284,0,0,False,False,
4,1024,2,25066,7247.222215177192,0.05797777772141754,0.16094058011827655,0.0360243374783471,40,3.076923076923077,0.7735849056603774,1.2617248,0.05485760000000001,0.05485759999999984,0.05485760000000006,0,0,False,False,
4,1024,3,35066,10975.217181832131,0.08780173745465705,0.19195163423389383,0.04574159412869092,59,2.95,0.7468354430379747,1.4811551999999995,0.05485759999999999,0.05485759999999984,0.05485760000000006,0,0,False,False,
4,1024,4,45066,8857.716040772124,0.07086172832617699,0.1861673773987207,0.03806345092051769,41,2.7333333333333334,0.7678571428571429,1.2617248,0.05485760000000001,0.05485759999999984,0.05485760000000006,0,0,False,False,
4,1024,5,55066,10605.972222958746,0.08484777778366996,0.20562248995983937,0.041263860679948874,183,3.588235294117647,0.7777777777777778,4.827468800000001,0.054851087224669616,0.0543648000000001,0.05485760000000006,0,0,True,True,
4,1024,6,65066,0.0,0.0,0.0,0.043291946926083305,32,8.0,0.9444444444444444,0.7131488000000001,0.05485760000000001,0.054857600000000006,0.05485760000000006,0,0,False,False,
4,1024,7,75066,10289.266107967627,0.08231412886374102,0.17715162505230855,0.04646535352946137,83,3.4583333333333335,0.7850467289719626,1.9748735999999982,0.05485759999999995,0.05485759999999984,0.05485760000000006,0,0,False,False,
4,1024,8,85066,0.0,0.0,0.0,0.036076622438402754,26,6.5,0.9333333333333333,0.7131488000000001,0.05485760000000001,0.054857600000000006,0.05485760000000006,0,0,False,False,
4,1024,9,95066,10417.881934317214,0.08334305547453771,0.22595631115943463,0.03688458846176282,111,2.775,0.7350993377483444,3.5108864,0.054857600000000006,0.05485759999999984,0.054857600000000284,0,0,False,False,
4,2048,0,6090,0.0,0.0,0.0,0.05521390118206026,18,4.5,0.8636363636363636,0.6681216000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,1,16090,5496.005517558481,0.04396804414046785,0.053088133240805,0.08282085177309043,48,6.857142857142857,0.9454545454545454,1.1135359999999999,0.05567679999999999,0.05567679999999986,0.055676800000000026,0,0,False,False,
4,2048,2,26090,0.0,0.0,0.0,0.08604763820580821,36,9.0,0.975,0.7794752,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,3,36090,2617.1454845516573,0.02093716387641326,0.025612695861791886,0.0817452562955178,33,6.6,0.9473684210526315,0.7794752,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,4,46090,0.0,0.0,0.0,0.08432668544169206,38,9.5,0.9523809523809523,0.835152,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,5,56090,7851.436453654969,0.06281149162923975,0.116793893129771,0.053779773878630116,21,5.25,0.88,0.7794752000000003,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,6,66090,0.0,0.0,0.0,0.0973000216634908,38,9.5,0.9761904761904762,0.7237984000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,7,76090,2818.4643679787073,0.022547714943829657,0.02317339149400218,0.0973000216634908,37,7.4,0.9523809523809523,0.7237984000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
4,2048,8,86090,1593.045077553183,0.012744360620425464,0.02317339149400218,0.05499566441849483,37,7.4,0.9285714285714286,1.2805663999999997,0.0556768,0.05567679999999986,0.055676800000000026,0,0,False,False,
4,2048,9,96090,2155.2962813954823,0.017242370251163857,0.01986290699485901,0.08680688207233005,44,8.8,0.9591836734693877,0.9465056000000001,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
